ID,dGrainHBS,FaceCovMax,SwellLink,rResolBulk,DatomFissGBx,StickProb,fNucleate,vResol,rResolGBB,fuel_swelling,fuel_gas_swelling
128,8.56E-05,0.5714481317,0.01056193147,1.44E-09,45493.38083,1.01E-07,2.01E-09,3.72E-18,2.52E-07,92.32153506,70.97121057
129,2.87E-05,0.7978114108,0.03478703012,4.54E-09,27824.88012,2.42E-08,1.70E-09,1.74E-18,8.65E-07,26.79148862,5.441164122
130,5.23E-05,0.5142493339,0.01718725393,2.79E-09,34787.90558,1.62E-07,1.29E-09,1.23E-18,4.52E-07,68.71509292,47.36476842
131,4.45E-05,0.6906837299,0.05257897629,4.04E-09,34241.06737,1.45E-07,8.08E-10,2.65E-18,5.75E-07,39.17152355,17.82119905
132,7.47E-05,0.7749409578,0.05481468042,1.36E-09,18641.54499,3.77E-07,1.29E-09,2.00E-18,9.99E-07,57.55101143,36.20068693
133,1.30E-05,0.6754739561,0.06035662888,1.52E-09,19872.46233,2.14E-07,9.06E-10,2.82E-18,2.97E-07,25.1405888,3.790264302
134,5.09E-05,0.6773130214,0.0127253116,4.47E-09,28897.22929,2.17E-09,2.96E-09,1.80E-18,6.80E-07,57.11384909,35.7635246
135,9.20E-05,0.5962237394,0.07883440469,7.37E-10,37200.18634,1.22E-07,8.64E-10,1.75E-18,5.21E-07,98.91092606,77.56060156
136,5.91E-05,0.8052834511,0.02013087565,2.56E-09,17827.03274,2.17E-07,2.82E-09,1.25E-18,9.85E-07,56.92729565,35.57697116
137,1.66E-05,0.8012598102,0.01740681849,2.40E-09,34916.10019,2.84E-07,2.03E-09,1.61E-18,4.72E-07,24.21894085,2.868616355
138,4.77E-05,0.8381588469,0.05336446302,4.06E-09,16211.05335,1.28E-07,8.69E-10,1.87E-18,6.37E-07,36.87320237,15.52287788
139,8.05E-05,0.6801592483,0.03464806307,3.64E-09,32902.11814,1.62E-07,1.95E-09,1.17E-18,5.57E-07,67.35852488,46.00820038
140,8.12E-05,0.5631888521,0.05547745039,1.08E-09,42203.79961,3.63E-07,2.32E-09,2.79E-18,3.15E-07,67.81207486,46.46175036
141,6.74E-05,0.8149627533,0.04567008289,3.58E-09,42893.30834,2.94E-07,1.99E-09,2.42E-18,8.28E-07,49.55825206,28.20792757
142,2.43E-05,0.6612549813,0.02243627779,1.65E-09,40127.74777,2.35E-07,1.03E-09,2.13E-18,8.84E-07,33.27012374,11.91979924
143,6.21E-05,0.5079084672,0.07690923897,3.93E-09,16303.26682,1.96E-07,2.91E-09,3.88E-18,4.51E-07,41.06928917,19.71896468
144,8.93E-05,0.6028205699,0.02825598314,3.27E-09,22003.86062,3.70E-07,5.46E-10,3.04E-18,7.83E-07,75.0342695,53.68394501
145,8.41E-05,0.7592835223,0.03437881984,2.76E-09,14200.25127,1.70E-07,2.65E-09,1.30E-18,4.27E-07,66.06037465,44.71005016
146,6.53E-05,0.6587766753,0.04579049867,3.62E-09,31246.67438,3.59E-07,7.17E-10,2.00E-18,9.00E-07,54.94491419,33.5945897
147,5.33E-05,0.8664179566,0.02602057515,2.41E-09,37838.04993,3.18E-07,1.43E-09,3.06E-18,8.25E-07,46.58571311,25.23538862
148,5.07E-05,0.6858059078,0.06296418347,1.80E-09,43503.90516,2.30E-07,1.45E-09,2.11E-18,7.36E-07,44.3448693,22.99454481
149,2.20E-05,0.5015049236,0.02519572143,4.08E-09,9671.874166,8.24E-08,1.06E-09,3.08E-18,3.03E-07,29.10842778,7.758103289
150,2.59E-05,0.5575803762,0.01956884252,3.60E-09,45101.14465,1.42E-07,3.36E-10,3.76E-18,2.78E-07,32.02802229,10.6776978
