%eval_id interface dGrainHBS FaceCovMax SwellLink vResol DatomFissGBx fNucleate aAtomDifFiss FD1 fuel_swelling1 FD2 fuel_swelling2 FD3 fuel_swelling3
0 106 3.779E-05 0.808 2.611E-02 1.869E-18 3.124E+04 6.028E-10 5.305E-31 .2004480008009508E+22 8.369519151729985 .4008960016019010E+22 18.92149023775983 .6013440024028510E+22 38.17057365587713
0 107 4.644E-05 0.765 2.669E-02 1.847E-18 2.577E+04 5.786E-10 4.853E-31 .2004480008009508E+22 8.333686003500601 .4008960016019010E+22 20.75078965650850 .6013440024028510E+22 44.97544989084014
0 108 3.504E-05 0.860 2.589E-02 2.291E-18 2.711E+04 7.110E-10 5.262E-31 .2004480008009508E+22 8.247187233403276 .4008960016019010E+22 17.85049812453041 .6013440024028510E+22 34.77297567726855
0 109 3.869E-05 0.683 2.122E-02 1.877E-18 3.142E+04 5.242E-10 5.608E-31 .2004480008009508E+22 8.399450931094973 .4008960016019010E+22 20.28716403068738 .6013440024028510E+22 42.90094099300062
0 110 4.338E-05 0.852 2.601E-02 2.118E-18 3.221E+04 5.983E-10 5.111E-31 .2004480008009508E+22 8.312312281492694 .4008960016019010E+22 19.58598336745647 .6013440024028510E+22 40.91703231193398
0 111 3.704E-05 0.820 2.744E-02 1.303E-18 2.373E+04 6.030E-10 5.382E-31 .2004480008009508E+22 8.487236399472639 .4008960016019010E+22 18.81670194585534 .6013440024028510E+22 37.26991956710849
0 112 3.344E-05 0.710 2.325E-02 1.918E-18 2.801E+04 5.512E-10 5.728E-31 .2004480008009508E+22 8.376843551994110 .4008960016019010E+22 18.85088446094156 .6013440024028510E+22 37.72417295510150
0 113 4.257E-05 0.669 2.530E-02 2.054E-18 3.152E+04 5.677E-10 4.816E-31 .2004480008009508E+22 8.313653432034132 .4008960016019010E+22 20.86854721401681 .6013440024028510E+22 45.32617655516346
0 114 4.566E-05 0.801 2.559E-02 1.909E-18 3.149E+04 6.819E-10 4.702E-31 .2004480008009508E+22 8.316470065100035 .4008960016019010E+22 20.39733674440749 .6013440024028510E+22 43.76074068106814
0 115 4.106E-05 0.902 2.350E-02 2.007E-18 3.132E+04 5.783E-10 5.259E-31 .2004480008009508E+22 8.342461598923414 .4008960016019010E+22 18.90904344668671 .6013440024028510E+22 38.43039860648164
0 116 4.196E-05 0.781 2.081E-02 1.847E-18 3.176E+04 5.285E-10 6.429E-31 .2004480008009508E+22 8.446212649446453 .4008960016019010E+22 20.18384873288713 .6013440024028510E+22 42.60360516249619
0 117 4.410E-05 0.735 2.434E-02 1.872E-18 3.527E+04 6.568E-10 4.805E-31 .2004480008009508E+22 8.346699934126187 .4008960016019010E+22 20.71978083725006 .6013440024028510E+22 44.72893916362033
0 118 4.530E-05 0.647 2.411E-02 2.264E-18 2.873E+04 5.603E-10 4.646E-31 .2004480008009508E+22 8.256878579341892 .4008960016019010E+22 21.46662760179064 .6013440024028510E+22 47.79802667978411
0 119 4.402E-05 0.767 2.649E-02 1.693E-18 2.653E+04 6.845E-10 4.926E-31 .2004480008009508E+22 8.356654826966624 .4008960016019010E+22 20.38289195135797 .6013440024028510E+22 43.47757400549657
0 120 3.716E-05 0.770 3.019E-02 1.886E-18 2.839E+04 5.669E-10 5.393E-31 .2004480008009508E+22 8.366019762353364 .4008960016019010E+22 18.94458527228872 .6013440024028510E+22 38.17929222126160
0 121 3.277E-05 0.696 2.076E-02 2.020E-18 2.489E+04 5.964E-10 4.604E-31 .2004480008009508E+22 8.276880853387492 .4008960016019010E+22 18.77734329839715 .6013440024028510E+22 37.78743726169211
0 122 4.605E-05 0.736 2.483E-02 1.876E-18 2.544E+04 6.266E-10 5.891E-31 .2004480008009508E+22 8.367046427644476 .4008960016019010E+22 21.01472838789473 .6013440024028510E+22 45.82719099509582
0 123 4.510E-05 0.782 2.515E-02 2.299E-18 3.554E+04 6.021E-10 4.799E-31 .2004480008009508E+22 8.273955506179870 .4008960016019010E+22 20.39492127713347 .6013440024028510E+22 43.91608252969328
0 124 4.343E-05 0.833 3.051E-02 2.194E-18 3.188E+04 4.814E-10 5.159E-31 .2004480008009508E+22 8.322947531607234 .4008960016019010E+22 19.57448099420795 .6013440024028510E+22 40.80294076561660
0 125 3.781E-05 0.699 3.029E-02 2.171E-18 2.327E+04 5.640E-10 4.670E-31 .2004480008009508E+22 8.249431710590878 .4008960016019010E+22 19.46353044862857 .6013440024028510E+22 40.39712830577965
0 126 4.299E-05 0.673 3.049E-02 2.128E-18 2.792E+04 6.549E-10 4.831E-31 .2004480008009508E+22 8.269720008142995 .4008960016019010E+22 20.62141992001145 .6013440024028510E+22 44.54715282434756
