dGrainHBS,FaceCovMax,SwellLink,vResol,DatomFissGBx,fNucleate,aAtomDifFiss,fuel_swelling
2.37e-05,0.50866,0.046336,3.12e-18,5194.3,3.32e-09,2e-31,35.54
5.71e-05,0.84812,0.025069,2.77e-19,4648.4,1.46e-09,1.57e-31,56.649
4.5e-05,0.80402,0.041525,4.91e-18,16543,4.89e-08,7.27e-32,47.706
3.31e-05,0.85068,0.045785,1.6e-17,19408,2.45e-09,8.1e-31,34.877
4.95e-05,0.67071,0.019869,4.14e-18,84932,3.29e-09,1.78e-30,58.852
2.68e-05,0.68663,0.04416,4.64e-18,28159,1.14e-10,3.58e-31,31.97
5.83e-05,0.56158,0.052723,2.41e-19,24790,4.19e-10,9.38e-32,58.585
2.99e-05,0.81762,0.043296,4.4e-18,9173.1,6.46e-09,1.49e-30,34.828
5.24e-05,0.70536,0.036006,1.89e-17,1.6495e+05,1.3e-09,2.63e-31,53.13
3.5e-05,0.60858,0.026088,7.89e-18,64941,2.55e-08,5.65e-31,49.263
2.48e-05,0.76816,0.055031,2.12e-18,18294,2.39e-10,6.58e-31,29.335
2.12e-05,0.67221,0.036884,2.22e-18,94652,5.66e-09,6.12e-32,31.286
3.22e-05,0.78732,0.01754,1.88e-17,23598,9.54e-09,5.91e-31,42.569
4.86e-05,0.85846,0.030317,9.88e-19,3785.3,3.86e-08,3.73e-30,53.832
2.84e-05,0.53065,0.055965,1.43e-18,5615.2,2.36e-09,9.57e-32,37.001
3.51e-05,0.64652,0.06326,2.17e-18,44802,4.39e-10,6.43e-31,37.557
5.48e-05,0.62474,0.038922,1.04e-18,40221,2.93e-08,2.2e-30,61.066
3.23e-05,0.74412,0.060684,3.93e-18,16111,5.83e-08,2.31e-30,36.971
2.07e-05,0.751,0.045162,6.81e-18,48697,1.41e-10,1.83e-30,28.203
5.39e-05,0.8272,0.06185,1.16e-18,60808,6.5e-11,9.37e-31,47.349
5.68e-05,0.71859,0.06188,1.85e-17,25184,2.04e-09,2.44e-30,47.095
5.89e-05,0.80652,0.023386,1.22e-17,2.6456e+05,6.08e-09,2.26e-31,62.93
2.34e-05,0.64774,0.022623,1.85e-18,51730,1.02e-08,5.79e-31,36.576
3.22e-05,0.87549,0.042193,5.89e-18,2.8569e+05,6.57e-11,6.81e-31,31.774
5.69e-05,0.68892,0.050393,1.64e-17,1.233e+05,6.29e-09,2.71e-30,52.491
5.1e-05,0.73421,0.032922,5.85e-18,8152.6,1.8e-09,6.1e-31,52.203
5.92e-05,0.62689,0.037363,2.87e-19,5084.8,2.34e-08,1.09e-30,69.545
3.65e-05,0.59244,0.031175,3.29e-18,1.1478e+05,2.1e-10,1.93e-30,45.551
5.6e-05,0.63026,0.034659,1.1e-18,64228,3.77e-08,1.99e-30,63.831
4.58e-05,0.55681,0.048695,9.65e-19,51565,3.28e-09,8.87e-31,49.819
3.81e-05,0.82919,0.062388,4.3e-18,26122,1.73e-10,3.24e-31,35.15
3.52e-05,0.56748,0.044623,3.44e-18,21730,8.91e-09,3.01e-31,43.971
3.67e-05,0.70012,0.029413,4.74e-18,9454.1,8.49e-11,2.61e-31,41.56
4.65e-05,0.50231,0.029657,2.61e-18,5214.9,1.02e-09,7.9e-31,57.062
3.15e-05,0.88212,0.025227,5.74e-18,4661,3.03e-08,1.64e-30,39.749
2.37e-05,0.60056,0.040135,2.79e-18,5929.4,2.03e-09,1.82e-31,33.534
2.91e-05,0.70722,0.052414,2.64e-18,8231.8,1.11e-09,8.15e-31,33.63
2.58e-05,0.90299,0.025882,4.03e-19,11346,4.03e-09,5.41e-31,33.054
2.86e-05,0.50892,0.031868,5.19e-18,6626.8,3.66e-10,5.83e-32,40.924
2.36e-05,0.65993,0.062268,1.5e-17,1.0012e+05,1.62e-09,1.33e-30,30.41
2.34e-05,0.88681,0.027641,1.11e-18,53621,1.87e-10,5.46e-31,28.775
5.43e-05,0.62941,0.031416,7.04e-18,6534.8,4.59e-08,3.35e-30,63.457
4.83e-05,0.82904,0.026572,1.17e-17,11976,1.76e-08,1.01e-30,52.937
2.78e-05,0.51949,0.025672,2.23e-18,44456,1.36e-10,4.37e-31,40.162
4.9e-05,0.89302,0.036774,2.04e-18,2.2148e+05,1.13e-08,2.49e-31,48.141
5.22e-05,0.72473,0.019272,4.64e-19,86950,1.06e-10,1e-31,58.652
2.15e-05,0.64787,0.043338,6.59e-18,19823,6.64e-09,6.05e-32,31.564
2.53e-05,0.84505,0.043854,9.98e-18,2.4401e+05,2.15e-09,2.51e-31,30.27
3.31e-05,0.78384,0.037854,1.13e-17,26387,1.77e-10,1.13e-30,35.065
4.41e-05,0.55064,0.055304,5.03e-18,2.916e+05,8.36e-09,3.15e-31,46.368
4.79e-05,0.61639,0.045738,1.67e-18,85536,1.05e-08,2.65e-31,50.077
3.84e-05,0.80117,0.058435,2.03e-18,34440,7.02e-11,1.59e-30,37.048
2.27e-05,0.89523,0.027591,4.53e-18,4065.4,1.18e-09,7.83e-31,28.645
4.79e-05,0.63148,0.042756,1.28e-17,5728.2,1.51e-08,1.92e-31,51.434
4.09e-05,0.81862,0.023032,4.95e-19,62900,2.27e-09,6.4e-32,45.38
4.41e-05,0.83705,0.046116,1.3e-17,19235,5.66e-10,1.85e-30,40.987
5.76e-05,0.74509,0.047944,5.61e-18,11001,8.6e-09,5.63e-32,53.05
4.36e-05,0.67399,0.041172,1.41e-18,1.2741e+05,4.28e-09,3.79e-30,50.365
