dGrainHBS,FaceCovMax,SwellLink,vResol,DatomFissGBx,fNucleate,aAtomDifFiss,fuel_swelling
3.17e-05,0.89674,0.032314,4.03e-18,4301.4,1.86e-10,1.35e-30,51.646
4.81e-05,0.87659,0.055101,1.32e-17,75073,8.48e-10,4.3e-30,84.594
3.5e-05,0.88983,0.018254,8.78e-18,6580.2,9.5e-11,3.89e-30,63.368
3.09e-05,0.90605,0.060167,1e-17,6815.5,8.33e-09,3.9e-30,46.727
5.16e-05,0.8156,0.044429,3.33e-19,71034,8.21e-10,6.21e-32,112.37
5.69e-05,0.68158,0.019783,8.88e-18,8710.7,5.05e-08,1.41e-30,155.48
5.01e-05,0.83809,0.043458,1.51e-18,12514,1.74e-09,6.24e-31,102
4.23e-05,0.82658,0.050725,1.26e-17,3027.1,2.37e-09,3.33e-30,76.537
2.09e-05,0.71232,0.04025,1.39e-17,6891.6,3.52e-08,1.37e-31,43.133
2.08e-05,0.67246,0.050325,1.52e-17,16435,6.96e-10,3.94e-31,37.823
4.79e-05,0.89484,0.060497,1.9e-17,3689.3,4.96e-08,5.83e-31,71.765
2.93e-05,0.7648,0.039712,1.37e-17,10851,1.59e-08,3.3e-30,58.717
2.77e-05,0.8598,0.035509,5.06e-19,4420.3,4.07e-09,7.13e-32,48.807
3.32e-05,0.75382,0.056611,8.88e-19,12629,3.74e-09,1.93e-31,61.835
2.41e-05,0.6737,0.016831,6.14e-18,41569,9.99e-10,6.06e-32,53.71
5.65e-05,0.54137,0.052806,5.18e-19,11427,2.22e-08,2.6e-31,134.7
2.21e-05,0.85397,0.043927,5.12e-18,10283,1.13e-09,7.59e-32,33.603
5.23e-05,0.79181,0.045229,1.48e-17,5651.9,1.41e-09,6.71e-32,101.6
4.16e-05,0.61669,0.018506,1.42e-18,7227.1,4.91e-09,6.76e-32,120.32
5.41e-05,0.54247,0.032543,1.73e-18,1.8861e+05,5.87e-08,7.39e-31,154.66
5.35e-05,0.72913,0.016531,4.23e-18,1.4649e+05,4.95e-10,8.2e-31,145.78
5.52e-05,0.62213,0.051129,2.16e-18,11711,3e-10,2.33e-31,129.26
5.77e-05,0.85466,0.035266,5.26e-18,5991.8,5.4e-09,4.55e-31,117.28
5.42e-05,0.75479,0.053557,1.79e-17,1.3788e+05,1.4e-09,2.88e-30,106
5.97e-05,0.7074,0.018958,1.25e-17,6067.4,2.03e-10,7.31e-31,161.51
4.42e-05,0.87952,0.049886,3.58e-18,2.5258e+05,1.91e-10,1.32e-31,78.43
5.06e-05,0.65735,0.037553,4.79e-18,8607.6,2.08e-08,1.32e-31,116.57
5.27e-05,0.53815,0.049696,1.53e-17,1.5027e+05,8.52e-10,7.87e-32,126.2
4.05e-05,0.58392,0.028281,1.89e-17,3149.5,2e-10,8.37e-32,109.3
5.55e-05,0.74433,0.039848,2.99e-18,7713.2,1.13e-09,1.4e-31,121.36
3.53e-05,0.67386,0.049622,4.84e-18,2.5549e+05,1.22e-08,4.02e-30,77.129
3.26e-05,0.5484,0.062667,1.7e-17,4191.8,3.6e-09,1.66e-31,67.796
4.91e-05,0.8804,0.043903,1.3e-18,1.3262e+05,7.09e-09,9.08e-31,101.16
5.75e-05,0.592,0.019929,6.36e-18,5337.3,5.74e-09,2.23e-30,166.29
4.01e-05,0.85193,0.01917,1.61e-17,50007,1.64e-09,7.15e-31,86.962
5.72e-05,0.86638,0.061069,4.54e-18,15935,1.01e-10,9.63e-32,100.28
4.59e-05,0.64277,0.054834,8.86e-19,1.1562e+05,4.57e-08,1.79e-31,98.133
5.21e-05,0.74113,0.027538,9.36e-19,23320,6.86e-10,8.76e-32,130.42
4.26e-05,0.64731,0.050475,1.54e-18,14480,3.53e-08,5.4e-31,90.267
3.64e-05,0.57928,0.035342,3.98e-18,17380,1.9e-10,4.83e-31,96.165
5.56e-05,0.66373,0.027166,2.3e-18,1.0862e+05,7.99e-10,2.57e-31,149.96
3.03e-05,0.55532,0.019025,8.01e-18,8564.8,3.99e-10,6.03e-32,85.171
5.11e-05,0.8401,0.042158,3.23e-18,1.6626e+05,2.58e-08,3.42e-30,105.41
4.41e-05,0.68549,0.021732,2.75e-18,92462,7.68e-11,1.33e-31,115.08
5.15e-05,0.81308,0.029286,5.38e-19,4708.7,1.69e-08,9.74e-31,129.94
4.45e-05,0.51344,0.022509,9.51e-18,14123,7.3e-10,5.84e-31,140.26
5.16e-05,0.67268,0.063574,1.22e-18,6870.4,2.42e-09,9.01e-32,96.34
2.52e-05,0.86746,0.033328,3.5e-19,72988,5.71e-08,5.81e-32,57.47
2.44e-05,0.70636,0.042873,9.95e-18,2.1706e+05,1.24e-08,3.28e-30,49.782
2.5e-05,0.50094,0.029246,3.77e-18,44743,1.04e-10,8.4e-32,67.818
4.26e-05,0.70825,0.051347,5.99e-18,17588,5.7e-10,2.47e-30,91.049
5.19e-05,0.52565,0.060221,1.74e-17,14626,1.33e-10,1.08e-31,122.81
5.61e-05,0.55253,0.053141,6.89e-18,11127,4.06e-10,2.97e-31,131.63
3.77e-05,0.63477,0.052101,2.66e-18,14592,2.25e-10,3.67e-31,85.851
5.17e-05,0.69599,0.029989,3.79e-18,6447,1.98e-09,1.73e-31,126.81
3.54e-05,0.65939,0.018744,1.41e-17,63366,2.21e-08,8.26e-31,97.996
5.91e-05,0.51814,0.052186,7.47e-18,3629.8,7.89e-09,1.31e-30,125.71
2.06e-05,0.80219,0.034211,1.71e-17,1.3346e+05,1.6e-09,6.93e-31,34.338
5.74e-05,0.57554,0.05762,1.46e-18,1.2512e+05,1e-09,2.24e-31,135.65
4.78e-05,0.85172,0.044808,2.5e-18,32225,9.72e-11,1.73e-31,92.385
3.11e-05,0.67813,0.020497,1.4e-18,24636,1.21e-08,6.63e-32,78.548
4.89e-05,0.78668,0.043357,1.29e-17,6305.2,7.31e-10,3.43e-31,99.637
5.85e-05,0.50426,0.018291,6.93e-18,27691,5.38e-10,7.49e-32,189.19
2.63e-05,0.70616,0.016771,5.8e-18,49747,6.32e-09,5.01e-31,62.024
5e-05,0.88137,0.02032,3.61e-18,10494,9.53e-11,2.43e-30,107.19
2.49e-05,0.86348,0.039644,3.43e-18,9299.7,1.89e-09,1.85e-31,39.862
