dGrainHBS,FaceCovMax,SwellLink,vResol,DatomFissGBx,fNucleate,aAtomDifFiss,fuel_swelling
2e-05,0.80092,0.042362,3.97e-19,10227,1.24e-08,9.99e-32,31.848
4.26e-05,0.63494,0.057636,9.55e-19,35790,1.27e-09,1.53e-31,54.346
3.97e-05,0.77457,0.057297,5.39e-18,1.8522e+05,4.82e-09,5.52e-31,47.362
2.33e-05,0.81144,0.026935,6.05e-18,11281,1.79e-08,6.84e-31,37.799
4.31e-05,0.90378,0.029838,1.49e-17,1.3397e+05,3.79e-09,5.08e-32,53.151
4.92e-05,0.76142,0.036908,3.34e-18,1.2476e+05,2.62e-09,1.74e-30,61.679
3.65e-05,0.54957,0.044059,1.84e-17,22553,1.32e-10,2.01e-31,57.199
3.6e-05,0.79036,0.047191,1.93e-17,2.183e+05,9.22e-10,3.84e-30,46.233
3.28e-05,0.54352,0.018073,1.42e-17,13663,2.77e-08,8.89e-32,61.12
2.37e-05,0.50866,0.046336,3.12e-18,5194.3,3.32e-09,2e-31,42.629
5.71e-05,0.84812,0.025069,2.77e-19,4648.4,1.46e-09,1.57e-31,68.994
4.5e-05,0.80402,0.041525,4.91e-18,16543,4.89e-08,7.27e-32,56.098
3.31e-05,0.85068,0.045785,1.6e-17,19408,2.45e-09,8.1e-31,41.983
4.95e-05,0.67071,0.019869,4.14e-18,84932,3.29e-09,1.78e-30,71.467
2.68e-05,0.68663,0.04416,4.64e-18,28159,1.14e-10,3.58e-31,39.343
2.99e-05,0.81762,0.043296,4.4e-18,9173.1,6.46e-09,1.49e-30,41.003
5.24e-05,0.70536,0.036006,1.89e-17,1.6495e+05,1.3e-09,2.63e-31,65.549
3.5e-05,0.60858,0.026088,7.89e-18,64941,2.55e-08,5.65e-31,58.747
2.12e-05,0.67221,0.036884,2.22e-18,94652,5.66e-09,6.12e-32,35.857
3.22e-05,0.78732,0.01754,1.88e-17,23598,9.54e-09,5.91e-31,50.368
4.86e-05,0.85846,0.030317,9.88e-19,3785.3,3.86e-08,3.73e-30,63.222
2.84e-05,0.53065,0.055965,1.43e-18,5615.2,2.36e-09,9.57e-32,45.026
3.51e-05,0.64652,0.06326,2.17e-18,44802,4.39e-10,6.43e-31,47.618
5.48e-05,0.62474,0.038922,1.04e-18,40221,2.93e-08,2.2e-30,71.343
3.23e-05,0.74412,0.060684,3.93e-18,16111,5.83e-08,2.31e-30,42.574
2.07e-05,0.751,0.045162,6.81e-18,48697,1.41e-10,1.83e-30,44.612
5.68e-05,0.71859,0.06188,1.85e-17,25184,2.04e-09,2.44e-30,58.465
5.89e-05,0.80652,0.023386,1.22e-17,2.6456e+05,6.08e-09,2.26e-31,71.961
2.38e-05,0.51925,0.021111,1.42e-18,10329,7.43e-11,5.67e-32,44.691
2.34e-05,0.64774,0.022623,1.85e-18,51730,1.02e-08,5.79e-31,42.529
3.22e-05,0.87549,0.042193,5.89e-18,2.8569e+05,6.57e-11,6.81e-31,39.109
5.69e-05,0.68892,0.050393,1.64e-17,1.233e+05,6.29e-09,2.71e-30,62.697
5.1e-05,0.73421,0.032922,5.85e-18,8152.6,1.8e-09,6.1e-31,64.789
5.6e-05,0.63026,0.034659,1.1e-18,64228,3.77e-08,1.99e-30,73.748
3.81e-05,0.82919,0.062388,4.3e-18,26122,1.73e-10,3.24e-31,44.63
3.52e-05,0.56748,0.044623,3.44e-18,21730,8.91e-09,3.01e-31,53.164
3.67e-05,0.70012,0.029413,4.74e-18,9454.1,8.49e-11,2.61e-31,53.443
4.65e-05,0.50231,0.029657,2.61e-18,5214.9,1.02e-09,7.9e-31,71.997
3.15e-05,0.88212,0.025227,5.74e-18,4661,3.03e-08,1.64e-30,47.04
2.37e-05,0.60056,0.040135,2.79e-18,5929.4,2.03e-09,1.82e-31,40.037
2.91e-05,0.70722,0.052414,2.64e-18,8231.8,1.11e-09,8.15e-31,40.947
2.86e-05,0.50892,0.031868,5.19e-18,6626.8,3.66e-10,5.83e-32,51.22
2.36e-05,0.65993,0.062268,1.5e-17,1.0012e+05,1.62e-09,1.33e-30,35.416
5.43e-05,0.62941,0.031416,7.04e-18,6534.8,4.59e-08,3.35e-30,72.589
4.83e-05,0.82904,0.026572,1.17e-17,11976,1.76e-08,1.01e-30,63.315
4.9e-05,0.89302,0.036774,2.04e-18,2.2148e+05,1.13e-08,2.49e-31,57.572
5.22e-05,0.72473,0.019272,4.64e-19,86950,1.06e-10,1e-31,74.229
2.15e-05,0.64787,0.043338,6.59e-18,19823,6.64e-09,6.05e-32,36.127
3.11e-05,0.83599,0.01537,3.01e-19,1.4157e+05,6.84e-10,9.42e-32,46.803
2.53e-05,0.84505,0.043854,9.98e-18,2.4401e+05,2.15e-09,2.51e-31,34.442
