ID,dGrainHBS,FaceCovMax,SwellLink,rResolBulk,DatomFissGBx,StickProb,fNucleate,vResol,rResolGBB,fuel_swelling,fuel_gas_swelling
164,2.22E-05,0.60940378,0.03595172698,2.08E-09,9629.829568,2.26E-07,2.99E-09,3.69E-18,4.44E-07,9.242740659,0.02213262256
165,1.65E-05,0.7010916224,0.02125229283,3.17E-09,40411.31488,2.99E-08,2.34E-09,1.41E-18,7.26E-07,12.98152105,3.760913014
166,6.28E-05,0.5638961181,0.02201138381,2.60E-09,28663.60363,2.17E-07,2.17E-09,2.69E-18,5.84E-07,10.3257495,1.105141459
167,5.51E-05,0.8447150478,0.01112295941,4.52E-09,20570.21331,1.37E-07,4.41E-10,1.17E-18,6.65E-07,12.03347708,2.812869043
168,9.58E-05,0.7497916483,0.03970638551,2.99E-09,16591.04339,6.21E-08,2.93E-09,1.48E-18,5.79E-07,11.60627393,2.385665895
169,8.84E-05,0.5070931772,0.03527804009,4.46E-09,27957.2485,1.12E-07,1.32E-09,2.85E-18,8.10E-07,9.657090318,0.4364822807
170,4.08E-05,0.8733525936,0.06385520731,4.98E-09,26590.72285,3.31E-08,2.25E-09,3.04E-18,2.93E-07,9.22106127,0.000453232947
171,7.71E-05,0.8611481133,0.0539118895,2.39E-09,35584.17673,3.18E-07,2.11E-09,2.64E-18,5.76E-07,10.64724388,1.426635839
172,9.14E-05,0.6515265403,0.05199870608,7.68E-10,19808.66417,3.69E-07,4.98E-10,3.54E-18,8.45E-07,16.07016981,6.849561777
173,3.65E-05,0.5284395848,0.05165527441,4.09E-09,15042.99786,3.05E-07,6.05E-10,1.41E-18,8.12E-07,10.82099818,1.600390145
174,3.17E-05,0.600679173,0.03770219241,7.80E-10,36780.99393,1.52E-07,2.24E-09,3.78E-18,4.73E-07,15.69780641,6.477198376
175,3.42E-05,0.7976447058,0.03797497778,3.20E-09,45671.94217,6.79E-09,2.79E-09,1.03E-18,8.59E-07,15.17730122,5.956693183
176,9.88E-05,0.6938701591,0.04659255005,3.42E-09,18874.18647,3.49E-07,2.76E-09,2.17E-18,3.57E-07,9.659628814,0.4390207767
177,3.67E-05,0.5806966245,0.04168974098,1.84E-09,11791.65413,3.55E-07,1.10E-09,3.24E-18,8.57E-07,10.46763031,1.247022271
178,9.43E-05,0.6282393606,0.0634140743,4.59E-09,18707.65828,3.58E-07,1.17E-09,2.70E-18,6.14E-07,9.441585879,0.2209778424
