dGrainHBS,FaceCovMax,SwellLink,rResolBulk,DatomFissGBx,StickProb,fNucleate,vResol,rResolGBB,Fuel_Swelling,Porosity,Bubble_Size
4.86E-05,0.579185278,0.078609341,1.07E-09,10246.18776,2.96E-07,2.57E-09,2.60E-18,8.70E-07,42.29739888,14.11637804,0.304183398
5.69E-05,0.705976167,0.042767424,1.35E-09,42693.99,1.24E-07,2.38E-09,3.60E-18,7.00E-07,52.12164443,19.62476503,0.401969601
2.15E-05,0.516166756,0.010241767,1.39E-09,25107.42995,3.34E-07,6.96E-10,1.62E-18,8.52E-07,45.68217375,15.76865485,1.246052745
1.75E-05,0.504937707,0.011549335,4.92E-09,29339.46189,1.04E-08,2.71E-09,3.33E-18,9.92E-07,24.09360672,2.184874971,0.180873116
7.10E-05,0.605018642,0.079815411,2.34E-09,8946.69737,3.84E-07,3.07E-10,3.81E-18,5.68E-07,47.83632072,17.60985108,0.416118908
9.85E-05,0.797197831,0.038538903,7.53E-10,8737.409702,2.23E-07,2.55E-09,2.45E-18,9.17E-07,80.98511764,31.01106202,1.252190619
9.46E-05,0.519187386,0.040170249,1.44E-09,38061.08216,2.08E-07,2.47E-09,3.36E-18,8.30E-07,80.03882179,30.71725434,1.07318893
3.68E-05,0.717529873,0.038959012,2.33E-09,49952.2093,2.81E-07,2.34E-09,2.99E-18,7.63E-07,35.76970482,10.50770423,0.199070659
1.58E-05,0.547928945,0.058420569,1.24E-09,40215.41431,3.55E-07,2.12E-09,2.56E-18,7.03E-07,26.8762781,2.223966952,0.252970396
3.43E-05,0.885110112,0.068493974,2.26E-09,14639.27372,3.98E-07,1.95E-09,2.97E-18,4.82E-07,25.23893353,3.066206888,0.097489909
2.23E-05,0.800521991,0.068439696,1.59E-09,10873.19128,3.20E-07,3.82E-10,1.51E-18,5.39E-07,27.50481383,3.460376014,0.03559003
7.73E-05,0.833135612,0.053426928,2.96E-09,47039.90028,9.79E-08,1.54E-09,3.78E-18,6.29E-07,50.61432844,19.08875588,0.475375948
6.67E-05,0.547380319,0.019002206,1.27E-09,18227.04535,9.21E-08,5.79E-10,3.52E-18,6.90E-07,81.24570073,31.87015911,1.581411253
4.63E-05,0.819457499,0.035216635,6.18E-10,44749.89765,1.33E-07,1.06E-09,3.90E-18,2.73E-07,53.04652721,20.16190401,1.113839805
