dGrainHBS,FaceCovMax,SwellLink,rResolBulk,DatomFissGBx,StickProb,fNucleate,vResol,rResolGBB,C1,C2,C3,C4,C5,C6,Porosity,Fuel_Swelling
2.15E-05,0.723131247,0.021088178,2.38E-09,45995.3652,1.32E-07,1.93E-09,1.50E-18,4.43E-07,0.538106102,1.273818741,3.467144232,8.400022114,3.746722121,0.029132179,3.458361753,13.41173066
2.13E-05,0.714672995,0.018433512,4.65E-09,21847.55329,2.96E-07,3.25E-10,1.41E-18,6.13E-07,0.297138361,0.818348727,4.763805798,6.096509005,0.352462969,9.04E-05,1.579693339,11.06349856
6.27E-05,0.581467291,0.027871384,4.40E-09,34397.28105,2.24E-07,2.31E-09,2.65E-18,2.96E-07,16.25299942,3.520234505,0.001304104,2.85E-09,6.01E-31,0,0.268067371,9.542420935
5.32E-05,0.661700245,0.02831852,2.96E-09,19337.22142,2.83E-08,1.88E-09,3.93E-18,4.27E-07,20.75811271,11.10628833,0.0001799,7.99E-12,4.87E-36,0,0.169663346,9.406232672
7.85E-05,0.509140575,0.064096017,4.73E-09,12548.05055,2.21E-07,2.52E-09,1.60E-18,9.76E-07,20.59173834,5.326850843,0.018740091,8.56E-07,2.66E-09,8.92E-33,0.163310061,9.456132581
6.76E-05,0.538163629,0.042902324,2.70E-09,38862.9083,3.16E-07,2.05E-09,2.22E-18,6.87E-07,0.911511759,4.877331442,11.84501425,2.196930468,0.002359703,1.14E-08,1.500985026,10.94703026
4.28E-05,0.54705435,0.037786727,4.80E-09,34085.95636,2.20E-07,2.29E-09,1.91E-18,5.08E-07,9.576925203,12.26413102,0.358558751,9.42E-05,9.33E-15,0,0.137874327,9.6107281
2.74E-05,0.609138628,0.037906704,4.81E-09,42162.89235,1.48E-07,1.96E-09,3.40E-18,8.68E-07,12.74347817,0.056577335,3.33E-08,1.07E-21,0,0,5.73E-05,9.22742244
1.02E-05,0.774700452,0.047607015,1.10E-09,37944.90903,2.26E-07,1.64E-09,3.49E-18,8.70E-07,0.594112007,1.432606502,3.920491919,9.624153716,3.62130777,0.00873513,3.541056265,13.50505692
6.53E-05,0.752046582,0.020322959,4.61E-09,32884.81368,1.56E-07,2.19E-09,3.58E-18,8.20E-07,6.459859597,0.000229136,7.94E-11,3.09E-32,0,0,0.246113096,9.490081132
9.13E-05,0.520065031,0.069448043,3.37E-09,26717.78811,1.36E-07,2.46E-09,3.83E-18,7.46E-07,18.95835905,0.503678685,2.00E-05,1.19E-06,2.17E-09,7.64E-33,0.152863391,9.387826164
3.30E-05,0.739013558,0.035325659,9.42E-10,23927.92986,1.30E-07,8.74E-10,2.97E-18,8.95E-07,0.496408157,0.989647758,2.139276204,4.800705667,5.498225557,1.072698552,5.273183522,15.83819412
2.38E-05,0.555636346,0.018154059,3.64E-09,8537.86544,5.86E-08,7.68E-10,2.59E-18,7.83E-07,9.562764903,18.3356354,0.754185722,1.02E-05,1.59E-25,0,0.057757928,9.494171169
9.41E-05,0.536709015,0.046441169,4.97E-09,8444.449624,1.26E-08,1.09E-09,3.84E-18,9.63E-07,1.219521911,0.000183559,1.21E-05,1.04E-24,0,0,0.301342232,9.550736146
1.77E-05,0.829720314,0.076466379,4.72E-09,10102.70394,2.41E-07,1.21E-09,3.57E-18,3.50E-07,0.001261745,6.13E-10,5.36E-17,2.07E-41,0,0,1.25E-05,9.220632802
3.61E-05,0.702044593,0.029293618,2.07E-09,16748.49085,2.73E-07,5.32E-10,2.01E-18,2.55E-07,0.456234117,1.124322629,3.355572383,8.492713098,2.770834829,0.010130783,2.912668254,12.7026422
4.57E-05,0.68536085,0.060766402,4.07E-09,42260.63308,3.22E-07,6.20E-10,1.48E-18,6.43E-07,0.279120625,0.734495786,3.487092586,6.714225788,0.944796672,0.000905281,1.861382357,11.38591358
1.80E-05,0.875164179,0.074786891,1.60E-09,42543.66476,1.55E-07,6.44E-10,3.19E-18,4.05E-07,0.293636507,0.691010034,1.849279682,6.080440764,5.139955513,0.090427053,3.425974949,13.35410108
7.37E-05,0.555307659,0.077400037,4.95E-09,25215.74287,9.76E-08,2.22E-09,1.45E-18,6.37E-07,3.466672194,16.02144899,5.558397691,0.017304609,1.04E-07,5.38E-30,0.505618191,9.989972806
7.48E-05,0.708913957,0.018664742,4.15E-09,35635.27462,3.35E-07,2.94E-09,3.15E-18,3.87E-07,10.0277625,0.020754301,7.03E-07,3.23E-18,0,0,0.329528025,9.581716508
7.60E-05,0.615919462,0.052831871,4.49E-09,48298.23731,1.95E-08,1.77E-09,3.36E-18,9.72E-07,10.87600577,12.9611695,0.003858305,7.26E-11,6.19E-34,0,0.194535894,9.449153724
